Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246),C2H3X(241),CH3OX(61),SX(245),C2H4(52)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4122593994767347e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996532,0.022821567693054285,-4.702096920254768e-99,3.835508501509249e-63,4.347433792380828e-35,5.4898712767262004e-67,5.933036638583078e-48,8.159242563920796e-50,2.1290102158786624e-19,-1.209917548208661e-97,2.1290102158765496e-19,3.2766834945115786e-65,1.2412079910508473e-64,1.8674792892171133e-69,5.464013608436455e-91,3.480147802885564e-49,7.75520945610603e-68,4.882845703529649e-36,2.1750673510304063e-18,-8.293949669773028e-101,2.11598604885459e-70,9.301668776683315e-19,2.8687963703978987e-19,5.124114630111407e-29,2.175067350927713e-18,6.496187682143302e-39,2.2565980729945995e-40,2.0638324890448821e-47,1.0031429228407347e-36,1.548190866330471e-52,1.2977917529826533e-66,3.4650948060033505e-82,9.5936730069368e-84,2.419266006594197e-114,2.8652993035766162e-67,6.370547720563826e-72,3.356978148773191e-114,4.1850154070442877e-69
6.754326318534857e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996532,0.022821567693054285,4.758644248647272e-97,9.654908268387466e-62,2.625863171090028e-34,1.2280623206585425e-65,8.966004613313038e-47,9.68665339561033e-49,5.961228604467257e-19,2.335764153049476e-96,5.961228604454492e-19,9.24077137106077e-64,3.9025564757541194e-63,4.177476727774908e-68,2.2547414181426522e-89,4.1316314732607495e-48,1.3523283534891974e-64,2.949238804923248e-35,6.090188583069933e-18,8.393692551215342e-99,1.2872574365496126e-68,2.6044672574525405e-18,8.032629837114116e-19,3.09496523613254e-28,6.0901885824496645e-18,7.71227401463942e-38,2.679033237533402e-39,3.1188328143224945e-46,6.0589832574669e-36,1.8380121974587692e-51,2.9031084183048936e-65,2.8378817054200888e-80,7.402907604269474e-82,3.8578988935989814e-112,1.7431012144962342e-65,3.043286950063246e-70,5.353227890913231e-112,2.5459488377516324e-67
1.5438460156651101e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996531,0.022821567693054285,9.965332686364914e-95,2.0026978646152602e-60,1.2642534875620075e-33,2.426444509258999e-64,9.64521859539518e-46,9.510414996651871e-48,1.3625665381672455e-18,2.466320247999672e-94,1.3625665381611e-18,2.010069609155611e-62,8.70638882471345e-62,8.253991103038237e-67,8.919540091285947e-88,4.056460284140035e-47,1.3766608255650152e-63,1.419931530573432e-34,1.3920431047888162e-17,1.757768271156229e-96,5.811295379551053e-67,5.9530680169458005e-18,1.836029677054655e-18,1.490092533754273e-27,1.3920431044901837e-17,7.571956357342786e-37,2.6302907302325673e-38,3.355087692598723e-45,2.917139624783842e-35,1.8045712766874723e-50,5.736053751316216e-64,3.0196083472663665e-78,8.068050986789236e-80,1.7682149049701202e-109,7.869192121038443e-64,1.5846332049203807e-68,2.453578373996497e-109,1.14936300100971e-65
3.2806727832883593e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199998,0.11866996602996528,0.022821567693054285,1.6014850595577894e-92,3.6413643937474143e-59,5.521444903944447e-33,4.3177294580182886e-63,8.86561761027558e-45,8.411856572227206e-47,2.8954538936194883e-18,1.9494206068403036e-92,2.8954538935926497e-18,3.7263302913617405e-61,1.6306102749932923e-60,1.46875398946882e-65,3.1833256755091993e-86,3.587893189469905e-46,1.7300020648027005e-62,6.201214043348422e-34,2.958091598048133e-17,2.824832560053926e-94,2.1942345765692872e-65,1.265026953563169e-17,3.901563063741142e-18,6.507625573192875e-27,2.958091596743926e-17,6.697309642359218e-36,2.326462383669644e-37,3.0839004423223474e-44,1.2739915172960092e-34,1.5961228615706122e-49,1.0207003770128924e-62,2.443660976069716e-76,6.600166911834576e-78,6.05630460096869e-107,2.9712572399682075e-62,6.323855147973253e-67,8.403739718518842e-107,4.3397759939401375e-64
6.754326318534857e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999975,0.11866996602996524,0.02282156769305428,2.289664820860213e-90,6.204905954808233e-58,2.3051929855781295e-32,7.28248552448367e-62,7.584722515873086e-44,7.070676014013009e-46,5.961228604568786e-18,1.381680288058857e-90,5.961228604456739e-18,6.404609686721766e-60,2.8164737584140664e-59,2.4772695397991456e-64,1.0755772932592428e-84,3.015840422774978e-45,3.505597396900307e-61,2.5888847918906097e-33,6.09018858574945e-17,4.0387012660370805e-92,7.612819192707587e-64,2.6044672571800952e-17,8.032629837114114e-18,2.7168055705413154e-26,6.090188580304638e-17,5.629492287431723e-35,1.95553184678169e-36,2.6383414842997863e-43,5.31866382429545e-34,1.3416374445778645e-48,1.7215612493125394e-61,1.7493455782929463e-74,4.750188432922504e-76,1.7870030293676788e-104,1.0308671824270907e-60,2.24759717233291e-65,2.4796487272556654e-104,1.5056698923726663e-62
1.3701633389027853e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199996,0.11866996602996514,0.022821567693054278,3.0950479610404673e-88,1.0242698428171538e-56,9.418269877304926e-32,1.1961516496992241e-60,6.271195245540087e-43,5.796973475549754e-45,1.209277802664663e-17,9.298074927091226e-89,1.2092778026188886e-17,1.0615170856078254e-58,4.679613315070328e-58,4.068926792752178e-63,3.5362857929826794e-83,2.472568204785987e-44,9.831817818867383e-60,1.0576439106650501e-32,1.2354382565882814e-16,5.459303040696447e-90,2.535386723551659e-62,5.2833478639329406e-17,1.6294763383860048e-17,1.1099037199696072e-25,1.2354382543638985e-16,4.615397880190519e-34,1.6032632110765656e-35,2.1814331832787155e-42,2.1728477366338416e-33,1.099955444910354e-47,2.827672394579723e-60,1.18263134374533e-72,3.2198328975774458e-74,4.906214380943173e-102,3.433218235701243e-59,7.570526326889263e-64,6.807871892452703e-102,5.014509366254227e-61
2.7596247530013846e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999925,0.11866996602996495,0.02282156769305427,4.0704041010477496e-86,1.664500006491813e-55,3.807665569600358e-31,1.939017310448454e-59,5.0996318166233306e-42,4.694549275760895e-44,2.4355876871519326e-17,6.100807045196252e-87,2.435587686966904e-17,1.728405391040173e-57,7.628950912407239e-57,6.595919077983241e-62,1.1470007240778264e-81,2.0023498650896196e-43,3.0740837317445618e-58,4.27516578919259e-32,2.4882770545072456e-16,7.179717330854135e-88,8.275925098123783e-61,1.0641109075514603e-16,3.281903047735188e-17,4.486408271983609e-25,2.488277045515934e-16,3.737668838690794e-33,1.2983642045386698e-34,1.77390826512145e-41,8.78299812712995e-33,8.907724529854604e-47,4.583788118583924e-59,7.776757113298238e-71,2.1200832256440253e-72,1.3003422997262909e-99,1.1206596878042134e-57,2.484722570847372e-62,1.8043571489240986e-99,1.6368193638912669e-59
5.538547581198583e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199986,0.11866996602996456,0.022821567693054254,5.2808896688529405e-84,2.6839279962748593e-54,1.5315685491223468e-30,3.122740294245251e-58,4.1130377945788584e-41,3.778597543666341e-43,4.888207456413271e-17,3.9532321610796594e-85,4.888207455669282e-17,2.789653261390714e-56,1.2320776538919234e-55,1.0622567510393834e-60,3.695311648074919e-80,1.6116654157010186e-42,9.841539076970981e-57,1.7190253606279686e-31,4.993954657914342e-16,9.314872463893927e-86,2.674636345630606e-59,2.1356631490981802e-16,6.58675646643354e-17,1.803965016153403e-24,4.99395462176067e-16,3.008401007821302e-32,1.0450366098993414e-33,1.430726444459607e-40,3.531605052343188e-32,7.169711904470643e-46,7.382079455131655e-58,5.044659244014058e-69,1.3761650010175741e-70,3.3869120517775516e-97,3.62177894406606e-56,8.051891430138192e-61,4.699683975137599e-97,5.2899172714045435e-58
1.109639323759298e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199973,0.1186699660299638,0.02282156769305422,6.805214691316144e-82,4.310944980243109e-53,6.14646959153191e-30,5.0127305028554e-57,3.30381561331185e-40,3.0321120303073445e-42,9.793446996083151e-17,2.5457708325524385e-83,9.79344699309942e-17,4.4828978745870804e-55,1.9805289850480734e-54,1.7051712012270736e-59,1.1865487386043841e-78,1.2932600672116e-41,3.1595956787691492e-55,6.894060546242001e-31,1.0005309895005206e-15,1.2003603732309055e-83,8.601231971337623e-58,4.278767629113173e-16,1.3196463303830188e-16,7.234706412904425e-24,1.0005309750012816e-15,2.4140522766522065e-31,8.385762947602981e-33,1.149245693258056e-39,1.4163316887295585e-31,5.753242669180596e-45,1.1849968724024382e-56,3.2503542468250126e-67,8.869756062549164e-69,8.745642366917651e-95,1.1647101398760521e-54,2.5928374503953924e-59,1.2135461384752093e-94,1.701158069837823e-56
