Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232)
0.0,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599997,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.904141580339559e-23,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599996,0.11866996602996532,0.02282156769305428,-5.045812528843259e-110,4.2142401394716455e-64,1.2878666672892865e-49,2.2346740032378805e-101,2.3745838822039242e-54,2.189278504560184e-63,1.5181546199133224e-45,-4.939490621011992e-154,8.938695472954079e-46,9.217791661427373e-97,2.7571246414983186e-67,8.424055139054766e-104,-5.421024736521199e-119,1.1878460323808176e-60,5.141312107234135e-81,6.554566682609085e-62,1.8683943084495412e-22,-1.0929463291680704e-115,3.9874109871182806e-80,2.0917719294125094e-18,2.1504627692197743e-18,5.637530660482517e-34,1.868394308438267e-22,7.554491972667796e-47,1.2878663438138842e-49,7.209939808585324e-58,1.2218192888427028e-37,3.474636061425435e-53,3.88252146200645e-80,3.409221279818793e-91
2.7731596424950765e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599996,0.11866996602996532,0.02282156769305428,5.106493501455452e-108,9.443673166987549e-63,1.5289554124050896e-48,1.2870944988838295e-99,3.5884711663400546e-53,6.883442123721801e-62,6.273528495181389e-45,1.3235175817032388e-152,2.5028466562064608e-45,2.599564735672041e-95,8.668841842096789e-66,4.851830642656848e-102,5.191140726089022e-117,1.4102108096460586e-59,7.881633061634997e-73,5.530880328775294e-61,5.231504064298352e-22,1.1060901084704675e-113,2.425736768457411e-78,5.856961402354962e-18,6.02129575381537e-18,3.405068519258558e-33,5.231504064230258e-22,8.96869287090142e-46,1.5289549237005744e-48,1.0895660875932212e-56,7.379788504630236e-37,4.125087932090668e-52,2.236133647501216e-78,2.6307080013724526e-89
6.3386506114173175e-22,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599994,0.11866996602996531,0.022821567693054278,1.069378253066793e-105,1.867377208012575e-61,1.501137536717303e-47,5.7722212183911506e-98,3.8603135313547615e-52,1.5356580738840048e-60,2.3875058486315655e-44,2.2771800018753032e-150,5.720848569145859e-45,5.654621118913294e-94,1.9339709339423367e-64,2.1757705508163893e-100,1.0804988170784265e-114,1.3845533353538871e-58,7.093480277273923e-72,4.2639510704728515e-60,1.195772357855452e-21,2.3163227518062665e-111,1.0950935310031892e-76,1.33873403482396e-17,1.3762961723006557e-17,1.6393939165589917e-32,1.1957723578226676e-21,8.805515846269088e-45,1.5011370113561285e-47,1.1721054891526023e-55,3.55305049198446e-36,4.050035793092691e-51,1.0027761856439586e-76,2.8670742686854238e-87
1.34696325492618e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599992,0.1186699660299653,0.02282156769305427,1.718551040470154e-103,3.32409634073138e-60,1.327739170140802e-46,2.171917445129222e-96,3.5482932119511697e-51,2.876117619079654e-59,9.144124745419112e-44,3.214189947747857e-148,1.2157043175493972e-44,1.0482714576675837e-92,3.622113524533488e-63,8.185838199336225e-99,1.730174887252532e-112,1.2246217455658162e-57,5.753641111677498e-71,3.2689091514325986e-59,2.541016261730105e-21,3.7224610317345585e-109,4.134864810248481e-75,2.844809824000782e-17,2.924629366138892e-17,7.159663943883116e-32,2.541016261586927e-21,7.78837905027466e-44,1.327738687932359e-46,1.0773669055443225e-54,1.5517104968608364e-35,3.582210793666493e-50,3.772694635894786e-75,2.3454447699307482e-85
2.7731596424950766e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599986,0.11866996602996527,0.022821567693054257,2.457035600282203e-101,5.607549641434768e-59,1.1160447828780059e-45,7.522486779151523e-95,3.035639552653438e-50,4.967777950968399e-58,3.5602614151808483e-43,4.279033063789046e-146,2.5030195510068613e-44,1.8017108043297497e-91,6.256300362775868e-62,2.8345274588918294e-97,2.4687973129264238e-110,1.0293683661653175e-56,4.6109343113145735e-70,2.540354391656854e-58,5.231504073573088e-21,5.3220527412068076e-107,1.4345766891255722e-73,5.856961402354001e-17,6.02129575381536e-17,2.9890187607511166e-31,5.231504072975348e-21,6.546601882757858e-43,1.1160443715230051e-45,9.217101133709449e-54,6.478085869718276e-35,3.0110640162534004e-49,1.3063643736994932e-73,1.688033636595715e-83
5.62555241763287e-21,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599973,0.11866996602996521,0.022821567693054226,3.3212908419701847e-99,9.211205875684921e-58,9.15000945866661e-45,2.503994060154736e-93,2.509925494608836e-49,8.25403737801741e-57,1.4030059956441647e-42,5.571094309748065e-144,5.077955266674087e-44,2.986203537276905e-90,1.0394936640638357e-60,9.430861564768563e-96,3.333807359970301e-108,8.439383784350766e-56,3.6899989095894356e-69,1.998571677682427e-57,1.0612479713633758e-20,7.19406956439979e-105,4.777739352279589e-72,1.1881264559058747e-16,1.2214628529168278e-16,1.2211116950467376e-30,1.0612479711191799e-20,5.367299762284864e-42,9.15000607711064e-45,7.620878173972538e-53,2.646509452636577e-34,2.4686522009965597e-48,4.346356563043336e-72,1.1442041660277832e-81
1.1330337967908456e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599948,0.11866996602996509,0.022821567693054164,4.36794364069757e-97,1.4932396469692555e-56,7.409914923777393e-44,8.177224037823385e-92,2.04102974300372e-48,1.345616418028152e-55,5.5682059797752546e-42,7.186867697920474e-142,1.0229047693025157e-43,4.862258371313411e-89,1.694637032618825e-59,3.076960704237559e-94,4.382157213535957e-106,6.83443179494427e-55,2.9535860800661177e-68,1.584589256640543e-56,2.1374431059253926e-20,9.461167932135984e-103,1.559533710860368e-70,2.3929870872461455e-16,2.460129407987402e-16,4.935928726505225e-30,2.1374431049383137e-20,4.3465785199725335e-41,7.40991220584744e-44,6.197172730455956e-52,1.0697614348980673e-33,1.9991785559252585e-47,1.4180011293801394e-70,7.533954045413438e-80
2.2739909068459628e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.123869003855999,0.11866996602996485,0.02282156769305404,5.6669129453965315e-95,2.40486736182338e-55,5.964144219731205e-43,2.647186832369958e-90,1.6461644526243662e-47,2.1731741232133803e-54,2.218356714663928e-41,9.233495750466333e-140,2.0536116525853213e-43,7.847704722920466e-88,2.7368433521793777e-58,9.942550848093714e-93,5.683889919197632e-104,5.500945291627488e-54,2.367743732494404e-67,1.2618052237420734e-55,4.2898334012489546e-20,1.227479552234964e-100,5.040143544123591e-69,4.802708349923976e-16,4.937462518128517e-16,1.9847152449234973e-29,4.289833397279955e-20,3.498504562142827e-40,5.96414207907442e-43,4.998246192387618e-51,4.3014636806859855e-33,1.6091128254910252e-46,4.5815638142369e-69,4.890353989067181e-78
4.555905126956197e-20,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385599803,0.11866996602996437,0.022821567693053792,7.3026615660793915e-93,3.860385532102623e-54,4.7858501879958706e-42,8.544821992434501e-89,1.322288848382897e-46,3.4933139773592836e-53,8.85541350354636e-41,1.184035151372947e-137,4.116979011248857e-43,1.261105116103717e-86,4.3993958135767976e-57,3.197536110595539e-91,7.323594384525736e-102,4.414162160586864e-53,1.9098356611284537e-66,1.0070656967469028e-54,8.5946140966942e-20,1.5817902690245098e-98,1.6208346778645087e-67,9.622150875268794e-16,9.89212873841062e-16,7.959595921996016e-29,8.594614080776732e-20,2.8073296238967945e-39,4.785848551163463e-42,4.014866173913929e-50,1.7250793242444283e-32,1.2912117025920806e-45,1.4731737519655156e-67,3.151961662885118e-76
