Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246),C2H3X(241),CH3OX(61)
0.0,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3002964451927262e-23,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,-5.694595514416148e-99,6.845872867760888e-63,3.634261847529899e-35,5.776888913791567e-67,2.6734995192357682e-48,1.5928076443030943e-49,1.9465704817946554e-19,-1.4483983682169385e-98,1.946570481793614e-19,7.958953026174013e-66,2.215391045147959e-64,1.9651135443453126e-69,5.256975782883825e-91,6.793775421913319e-49,1.0154051676521905e-68,1.7683495970265423e-35,1.988680876119943e-18,-1.0044601246484716e-100,1.2002258667919718e-70,8.504587595278683e-19,1.1363247384491808e-18,2.5253966068433263e-29,1.9886808760693306e-18,1.725788964437582e-39,5.994919232139406e-41,9.299885395504759e-48,3.63293761620496e-36,5.12639440116303e-52,1.365642000028319e-66,1.7970398295461475e-82,4.975394144589846e-84,3.645549229687956e-115,3.751542028781527e-68,6.129160391395738e-72
3.6408300465396334e-23,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,5.763079024384369e-97,1.723272804820923e-61,2.1950976521503946e-34,1.2922669853071903e-65,4.040192868230718e-47,1.8909813009499027e-48,5.450397349028486e-19,2.7961550572909704e-97,5.450397349022195e-19,2.2445523081648163e-64,6.965544605517705e-63,4.395880539915533e-68,2.169306244844625e-89,8.065570182658071e-48,3.5427045175549283e-65,1.0680831566023408e-34,5.568306453226915e-18,1.0165398157845454e-98,7.301559666099698e-69,2.381284526668771e-18,3.1817092676577064e-18,1.5253395504125597e-28,5.568306452921219e-18,2.0488566583510273e-38,7.117168119948655e-40,1.4053846917733846e-46,2.1942943208727786e-35,6.086055434758575e-51,3.0548866296617797e-65,1.4717596994738774e-80,3.8392371838017806e-82,5.81339963156458e-113,2.2822461518871678e-66,2.927973579402689e-70
8.321897249233448e-23,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,1.2068773525823592e-94,3.574549513519533e-60,1.0568485896250417e-33,2.5533019731011304e-64,4.346255150180065e-46,1.8565767863602706e-47,1.2458051083509952e-18,2.952444452295388e-95,1.2458051083479661e-18,4.882391586972793e-63,1.5539746898801413e-61,8.685519775489944e-67,8.581563543763879e-88,7.9188246371452445e-47,3.397353254168679e-64,5.142360628127826e-34,1.2727557607805161e-17,2.1287906629037668e-96,3.296273048400102e-67,5.442936060913537e-18,7.272478326074757e-18,7.343853330888251e-28,1.2727557606333364e-17,2.011579616237707e-37,6.987677880395225e-39,1.5118439821661392e-45,1.0564582598002954e-34,5.975325319158668e-50,6.0359416031914573e-64,1.5660053338441121e-78,4.1841885327404314e-80,2.664491634256708e-110,1.0303150093246464e-64,1.5245897741296844e-68
1.7684031654621077e-22,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199999,0.20128658794569018,0.1676987576445248,1.9395198357463772e-92,6.4993514693040255e-59,4.615566738116818e-33,4.5434650616655596e-63,3.9949572787259923e-45,1.6421213749963563e-46,2.647335855252809e-18,2.333661279126067e-93,2.6473358552395803e-18,9.051131168887361e-62,2.9104226163238554e-60,1.545542049400518e-65,3.062701756153068e-86,7.004110720137306e-46,3.558727021586088e-63,2.245803988197504e-33,2.7046059918418847e-17,3.421086416129181e-94,1.2446099873553778e-65,1.1566239129254901e-17,1.5454016442908857e-17,3.2072536888184766e-27,2.704605991199112e-17,1.779219389284016e-36,6.180521980734858e-38,1.389643507923395e-44,4.613830782903813e-34,5.285107582565345e-49,1.0740637056163385e-62,1.2673120788135358e-76,3.4229260889339897e-78,9.126136863945732e-108,3.8902734515468084e-63,6.084237573697724e-67
3.6408300465396333e-22,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199998,0.20128658794569013,0.1676987576445248,2.7729576847824796e-90,1.1074932412883143e-57,1.9269344041384738e-32,7.663220012549036e-62,3.417770059772262e-44,1.3803023515976742e-45,5.450397349078523e-18,1.6540164693758284e-91,5.4503973490232944e-18,1.5556581903960295e-60,5.027031310776369e-59,2.6067832815962556e-64,1.0348195150502748e-84,5.887377100384185e-45,5.6265635837498245e-62,9.375789563198887e-33,5.568306454547503e-17,4.8911734198682956e-92,4.3181302614002623e-64,2.3812845265344975e-17,3.1817092676577046e-17,1.3389652792630383e-26,5.56830645186405e-17,1.495541101250257e-35,5.1951011770698455e-37,1.1888689038230615e-43,1.9261835333638694e-33,4.4424513851384963e-48,1.8115659241629178e-61,9.07231736951183e-75,2.4635048697507454e-76,2.6928022670269555e-105,1.3497165938001664e-61,2.162433330495142e-65
7.385683808694685e-22,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951999964,0.20128658794569004,0.16769875764452477,3.748337668257496e-88,1.828185522517325e-56,7.872369473383291e-32,1.258686877641187e-60,2.825878377486716e-43,1.131655902720023e-44,1.1056520336818294e-17,1.11307725826119e-89,1.1056520336592666e-17,2.578389363026322e-59,8.352487748434791e-58,4.2816517130687266e-63,3.4022720755393284e-83,4.826827464906465e-44,1.370233933387879e-60,3.830315960943693e-32,1.1295707382290253e-16,6.611629767119558e-90,1.4381176917958614e-62,4.83060575351545e-17,6.454324514391339e-17,5.470110052018104e-26,1.1295707371327483e-16,1.226134949209101e-34,4.259257898267839e-36,9.829800249721351e-43,7.869088272376315e-33,3.6421900641453264e-47,2.9755040998811717e-60,6.133268986910823e-73,1.6698439574033505e-74,7.393081814372944e-103,4.495119867085332e-60,7.283671032730929e-64
1.4875391333004788e-21,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199993,0.20128658794568988,0.16769875764452474,4.929567728028198e-86,2.9709112402791143e-55,3.1823103694852307e-31,2.0403879043434024e-59,2.2979573637099957e-42,9.164453275826086e-44,2.2268766312651206e-17,7.303307014373592e-88,2.2268766311739175e-17,4.198238670568193e-58,1.3616663219302924e-56,6.940749539328277e-62,1.1035265215873566e-81,3.908890053650133e-43,4.091267760506786e-59,1.5482749528131432e-31,2.2750509247101816e-16,8.69518160161104e-88,4.6942558386643366e-61,9.729248206529102e-17,1.299955500785859e-16,2.2111059365912106e-25,2.2750509202788555e-16,9.9295586770455e-34,3.449257601902862e-35,7.993437185691335e-42,3.18081132822978e-32,2.949539971633054e-46,4.823425652321864e-59,4.0331202426941556e-71,1.0995004293082908e-72,1.959459595510159e-100,1.467282044744528e-58,2.3905737779553517e-62
2.9854806381624996e-21,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951999864,0.20128658794568952,0.1676987576445247,6.395557058087356e-84,4.7904546050789645e-54,1.2797319365853685e-30,3.285989017618775e-58,1.853385860048379e-41,7.376365985481747e-43,4.46932582657305e-17,4.73243424934812e-86,4.4693258262063273e-17,6.775974129646756e-57,2.1990947891972145e-55,1.1177887652008298e-60,3.555207486508933e-80,3.146214826990895e-42,1.2938639259553766e-57,6.225545488983556e-31,4.566011301402927e-16,1.1281015523395963e-85,1.5171024814483417e-59,1.9526533108763403e-16,2.609001599479305e-16,8.890759675054058e-25,4.566011283584755e-16,7.992172613225369e-33,2.7762628013526305e-34,6.447009012966661e-41,1.2789902716120536e-31,2.3740464176709193e-45,7.767995331950067e-58,2.616221361339183e-69,7.136953657608203e-71,5.1036608217682804e-98,4.742002364918626e-57,7.746796583058925e-61
5.981363647886541e-21,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951999726,0.20128658794568882,0.16769875764452455,8.241629005621895e-82,7.694463332494889e-53,5.133411811781418e-30,5.274763223046778e-57,1.488740309407856e-40,5.919095956890279e-42,8.954224217754301e-17,3.0475551699669694e-84,8.954224216283578e-17,1.0888808486099505e-55,3.5349807819018657e-54,1.7943063834710298e-59,1.1415345449513205e-78,2.5246393308983443e-41,4.141112803396352e-56,2.4967221848710373e-30,9.147932069710128e-16,1.4537270781263112e-83,4.878774929168114e-58,3.912110289805998e-16,5.227093796866174e-16,3.565592240135982e-24,9.14793199825129e-16,6.413215092932493e-32,2.227776383698447e-33,5.1786085642341734e-40,5.129323242070999e-31,1.9050228090915627e-44,1.2469407490617296e-56,1.6856731926727352e-67,4.599957230667922e-69,1.3178565031026415e-95,1.524957113022793e-55,2.494591993726077e-59
1.1973129667334623e-20,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199945,0.20128658794568743,0.1676987576445243,1.0584837710723635e-79,1.2334986282014957e-51,2.0569349586381025e-29,8.453448924400095e-56,1.1934096193334725e-39,4.742522623196798e-41,1.7924021002378373e-16,1.9564721834641344e-82,1.7924020996487806e-16,1.745997988102831e-54,5.669147398960448e-53,2.8755939799843382e-58,3.659266778018456e-77,2.0227838011099063e-40,1.3272994572314242e-54,9.999911568934413e-30,1.8311773666011383e-15,1.8670417204094483e-81,1.5650671866130592e-56,7.831024241596506e-16,1.0463278191639831e-15,1.4280966682464167e-23,1.831177337980331e-15,5.138376116165895e-31,1.7849326006684642e-32,4.1513285253924516e-39,2.0544049062660096e-30,1.5263365716865203e-43,1.998374045655204e-55,1.082457454827437e-65,2.9543550050703063e-67,3.3883003266441262e-93,4.8919254585262895e-54,8.007765019563706e-58
