Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2945163698003085e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996532,0.022821567693054285,-3.3125438333080855e-99,3.139724641735035e-63,3.93339148226873e-35,4.493976251971894e-67,5.105973390994501e-48,7.021846038232028e-50,2.025092654987726e-19,-8.961045968263042e-98,2.0250926549858141e-19,2.682274146158845e-65,1.0160455829060836e-64,1.5287075331564399e-69,4.254490251911366e-91,2.995016009997283e-49,6.038545393471643e-68,4.417812779384627e-36,2.0689017289905288e-18,-5.842940351575248e-101,1.647587709768048e-70,8.84765182351303e-19,2.728769648458851e-19,4.636103712992374e-29,2.0689017288976154e-18,5.590620632933119e-39,1.942028827197121e-40,1.7761347982795648e-47,9.076055016007324e-37,1.3323734202695629e-52,1.0623646755866238e-66,1.3294758493701682e-82,7.105388329041425e-84,1.6211411704967961e-114
6.424645835440864e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996532,0.022821567693054285,3.352380532877785e-97,7.903450985332949e-62,2.3757797812128024e-34,1.0052845704794435e-65,7.716145727077546e-47,8.33633612716551e-49,5.670259433971969e-19,1.7299434755422766e-96,5.67025943396042e-19,7.56444106328512e-64,3.19460972656324e-63,3.419657803454605e-68,1.755627984099148e-89,3.555683008439928e-48,1.1607775694526627e-64,2.668358918740862e-35,5.79292484134068e-18,5.9132076359048215e-99,1.0023079488118472e-68,2.4773425105666493e-18,7.640555015684782e-19,2.800206642256038e-28,5.792924840779484e-18,6.637184814107547e-38,2.3055766279658634e-39,2.684068240896755e-46,5.4819372326881504e-36,1.5817937253226994e-51,2.376467423728324e-65,1.0258830998243393e-80,5.482835850498219e-82,2.585163791063841e-112
1.4684904766721973e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996531,0.022821567693054285,7.020400257966327e-95,1.639396664518269e-60,1.1438472319271796e-33,1.9862731475804848e-64,8.300677377387714e-46,8.184665268142022e-48,1.2960592991965793e-18,1.8266375776242298e-94,1.2960592991910193e-18,1.6454311335960183e-62,7.126998561414163e-62,6.756668378678794e-67,6.945095096421675e-88,3.4909906654249004e-47,1.1689434697923564e-63,1.2846999562338702e-34,1.324097106670976e-17,1.2383165933993136e-96,4.52489718835343e-67,5.662497166929342e-18,1.7464125750136647e-18,1.3481789591511472e-27,1.3240971064007842e-17,6.516427405683802e-37,2.263628814365031e-38,2.8873892196340024e-45,2.639316803098196e-35,1.5530144610341292e-50,4.695499730515316e-64,1.11805758217107e-78,5.9754627816047455e-80,1.1848742659803579e-109
3.1205422629284193e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199998,0.11866996602996528,0.022821567693054285,1.1282178402593947e-92,2.9807994237401766e-59,4.995582734275285e-33,3.5344677950721334e-63,7.629752581913489e-45,7.239245550143508e-47,2.7541260108054807e-18,1.443804766752379e-92,2.754126010781198e-18,3.0503520077520687e-61,1.3348079572613652e-60,1.2023133281355129e-65,2.4786589397464247e-86,3.087741714349633e-46,1.4257419992529436e-62,5.610622229702957e-34,2.8137063520123034e-17,1.990044472146675e-94,1.7085150923743114e-65,1.2032806479382732e-17,3.711126721904037e-18,5.88785170943428e-27,2.8137063508323055e-17,5.76370623919633e-36,2.002154067793682e-37,2.65400538092202e-44,1.1526589915840216e-34,1.3736237062878585e-49,8.3553929120827e-63,9.14640518002105e-77,4.888299687473855e-78,4.058307256948208e-107
6.424645835440863e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999975,0.11866996602996524,0.02282156769305428,1.6130282837045954e-90,5.0792994302335746e-58,2.085642160512712e-32,5.961399426749214e-62,6.527413964711492e-44,6.085025121336091e-46,5.670259434063829e-18,1.0233176866778896e-90,5.6702594339624525e-18,5.242775730232112e-60,2.3055488125998753e-59,2.0278781419884055e-64,8.374854232123365e-85,2.5954329696910907e-45,2.7926571197026025e-61,2.3423243355257607e-33,5.792924843765004e-17,2.845193458972715e-92,5.927632630745315e-64,2.477342510320152e-17,7.64055501568478e-18,2.4580621831691236e-26,5.792924838838745e-17,4.844742375089493e-35,1.6829311601810785e-36,2.2705571953131522e-43,4.8121244102742615e-34,1.1546134969287834e-48,1.4092598207477067e-61,6.582734169347267e-75,3.5181449523131394e-76,1.1974640746478926e-104
1.3032852980465753e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199996,0.11866996602996514,0.022821567693054278,2.180406427581866e-88,8.384612538297416e-57,8.521220990911709e-32,9.791625923818254e-61,5.396992089906178e-43,4.9888762189949593e-45,1.15025262807427e-17,6.88645890611186e-89,1.1502526280328551e-17,8.6895162796497e-59,3.8307038668757454e-58,3.3307991571111195e-63,2.753485856688165e-83,2.1278927717532899e-44,7.70589251565114e-60,9.569159191778004e-33,1.1751361831550591e-16,3.8459822238264463e-90,1.9741492171247003e-62,5.0254662346487115e-17,1.5499411603246256e-17,1.0041986040266794e-25,1.1751361811425221e-16,3.972012492479021e-34,1.3797686884156384e-35,1.8773417382991388e-42,1.965909855149036e-33,9.466219113887278e-48,2.3147157243942778e-60,4.461991475016363e-73,2.384713429084465e-74,3.287635823596441e-102
2.6249267270515532e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199993,0.11866996602996496,0.02282156769305427,2.8675275302525527e-86,1.3625498895783818e-55,3.4449734154724395e-31,1.5872678255430992e-59,4.3887443302477985e-42,4.0401293776631987e-44,2.3167059974749165e-17,4.5184575670898935e-87,2.31670599730751e-17,1.414862463162214e-57,6.245014228190046e-57,5.399379405182371e-62,8.930975756004287e-82,1.723222758172488e-43,2.3976364627178008e-58,3.868007142640554e-32,2.3668235824242495e-16,5.057983579654087e-88,6.443952257066157e-61,1.0121713681565041e-16,3.121712477836918e-17,4.059131295680722e-25,2.3668235742892536e-16,3.216638675719769e-33,1.1173725294916476e-34,1.5266255932112458e-41,7.946522100341148e-33,7.665989793009059e-47,3.7522611895817595e-59,2.937975429076071e-71,1.570202698923732e-72,8.713544042791269e-100
5.268209585061508e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199987,0.1186699660299646,0.022821567693054254,3.7202931292866703e-84,2.197047626516694e-54,1.3856587271871432e-30,2.5562557830394803e-58,3.5396812853941e-41,3.251860597525444e-43,4.649612736535694e-17,2.927893251309273e-85,4.6496127358625616e-17,2.2835937134901886e-56,1.0085715000398055e-55,8.695567697063544e-61,2.877303927239568e-80,1.3869996286034673e-42,7.666229029345198e-57,1.555308659646151e-31,4.750198387810933e-16,6.562162476523633e-86,2.082574286095656e-59,2.0314208568434552e-16,6.26525511286149e-17,1.6321588257334942e-24,4.750198355100467e-16,2.5890306119350005e-32,8.993587379690067e-34,1.2312830704499276e-40,3.1952617021838627e-32,6.170255714729317e-46,6.0429243295665204e-58,1.9070648053298701e-69,1.019232373254382e-70,2.2695563747028415e-97
1.055477530108142e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199975,0.11866996602996388,0.022821567693054223,4.794153015037577e-82,3.52891412030614e-53,5.5607212057868354e-30,4.10338838494305e-57,2.8432644882772213e-40,2.609434183486686e-42,9.315426215695196e-17,1.8854812817382e-83,9.315426212995629e-17,3.6696737724468466e-55,1.621249339349328e-54,1.3958419861906954e-59,9.238876204050368e-79,1.1129799092783605e-41,2.4604406121842042e-55,6.2374833516055115e-31,9.516948025977488e-16,8.456325866986333e-84,6.697248516086627e-58,4.069919831432094e-16,1.2552340382910586e-16,6.545686767329228e-24,9.516947894793897e-16,2.0775339576127263e-31,7.216789353894749e-33,9.890404024812042e-40,1.2814429469583111e-31,4.9512419481702914e-45,9.700306849017244e-57,1.22915316946121e-67,6.569225337642404e-69,5.8604180776282884e-95
